month,transaction_count,total_fee_btc,total_size_bytes
2015-04,2770008,502.03287289,1487201029
2015-05,3208048,494.85137511,1753253434
2015-06,3510876,568.30311425,1992766622
2015-07,4313056,954.06148192,2723998815
2015-08,3569102,780.58155227,2128720511
2015-09,4148310,827.43491643,2483273922
2015-10,4268853,826.80674424,2477935958
2015-11,4759910,836.11471811,2634717354
2015-12,6097424,1061.37305386,3157360535
2016-01,5941625,1150.03808316,3222656999
2016-02,6328098,1266.65041568,3334899328
2016-03,6092921,1401.10370327,3274582976
2016-04,6431712,1614.10235059,3316533173
2016-05,6785775,1550.25442,3555140577
2016-06,6875990,1872.00722801,3664718140
2016-07,6502334,1814.74595859,3428781658
2016-08,6985382,2130.65232555,3615805688
2016-09,6658263,1804.76471599,3405878367
2016-10,7372569,2299.76817081,3757843218
2016-11,8089573,2644.62856386,3898332762
2016-12,8562381,3006.86990443,4100299932
2017-01,8617360,3502.43767651,4248354352
2017-02,8277352,4501.42493178,4038177311
2017-03,8866167,7096.75908707,4425262954
2017-04,8351640,6372.37968974,4250844636
2017-05,10061195,11665.45336461,4720800449
2017-06,8071385,12536.83760025,4347868049
2017-07,7183759,6441.59813056,4313986366
2017-08,7765430,8450.02564605,4170561663
2017-09,7345502,5263.20924887,3932035964
2017-10,8987745,5456.64873225,4604652856
2017-11,9345256,9964.33908391,4566006330
2017-12,11190438,19119.57289128,5302633585
2018-01,8873120,15049.27356432,5330549541
2018-02,5356201,2494.1185645,4407363957
2018-03,5695168,1017.59189513,3832572501
2018-04,5753341,992.17751422,3354880327
2018-05,6138957,1009.54678434,3444630992
2018-06,5752514,1043.16059249,3684098607
2018-07,6393536,669.31246706,3971734803
2018-08,6730044,694.25084771,3748521320
2018-09,6871444,618.85673826,3595162201
2018-10,7580518,545.35440751,4136215642
2018-11,8054376,871.72150495,4168041647
2018-12,8196417,699.45903917,4312478497
2019-01,9222178,634.6270917,4323493158
2019-02,9269096,749.31036911,4338045920
2019-03,9457625,988.04743088,4645894851
2019-04,11003022,2684.63155324,5217755608
2019-05,11505497,4337.19831244,5710714006
2019-06,10486006,3706.16844522,5437349781
2019-07,10305251,1945.05293071,5120990526
2019-08,10169294,1338.482596,4865117508
2019-09,9798992,924.96273569,4677115120
2019-10,9892853,894.47413017,4629150487
2019-11,9243776,951.42619225,4566515544
2019-12,9430057,633.32918836,4502362621
2020-01,9612337,618.55126519,4613739527
2020-02,9439548,744.1388902,4561505400
2020-03,8904203,1250.66540359,4665178162
2020-04,8702021,814.10859417,4887388065
2020-05,9092682,3252.39892964,5324156628
2020-06,9192440,1257.46827582,5222580370
2020-07,10158131,2545.66548947,5633303990
2020-08,9793583,3373.09613694,5764118110
2020-09,9495331,2472.93632379,5609672502
2020-10,9284673,3482.19346663,5250561380
2020-11,9145550,3442.47823555,5628507544
2020-12,9732999,3056.08170591,5808120308
2021-01,10075353,3307.55628821,6068148200
2021-02,8969658,4009.18713233,5368227913
2021-03,9342128,3049.38114233,6114690682
2021-04,8349964,4378.40755734,5422411564
2021-05,7791611,2626.89460368,5978076043
2021-06,6513015,1176.80139972,4539096143
2021-07,6816539,812.8401364,4619227278
2021-08,7453146,408.61970714,4881077792
2021-09,7611578,417.39894296,4950568607
2021-10,8451537,473.95550756,5461184940
2021-11,8299915,404.51825024,5236165158
2021-12,8122009,396.37347462,5442918995
2022-01,7742319,337.82226839,5132815603
2022-02,6996128,314.18946484,4870599570
2022-03,7979435,361.06953703,5349474484
2022-04,7824701,312.20419367,5104727927
2022-05,8057924,517.70097346,5530579760
2022-06,7514822,481.42562084,5124178307
2022-07,7682716,561.18230683,5087160643
2022-08,7819508,409.70070405,5324679641
2022-09,7683590,437.71211857,5205015443
2022-10,7973133,378.60915465,5357498600
2022-11,7873937,711.80096865,5484832905
2022-12,7958165,551.30871246,5273467862
2023-01,8758196,402.07853997,5469843168
2023-02,8388596,600.88198338,8469375645
2023-03,9775965,933.57413313,9640711511
2023-04,10727603,812.55423047,7633000709
2023-05,16300103,4538.01869121,7841550587
2023-06,12147181,1396.29753748,7428110707
2023-07,14132707,638.71225337,7622528170
2023-08,14414040,613.79341083,7474004418
2023-09,14674972,1002.44736365,7389139685
2023-10,10139137,705.01439245,7788399325
2023-11,16417694,3874.48323249,7493291080
2023-12,17539799,7913.71171628,7783118532
2024-01,14743013,3103.55114604,7736928635
2024-02,10568605,1478.18482989,7433418512
2024-03,11633235,1278.033731,8130589452
2024-04,14475082,4311.65928163,7635775565
2024-05,18193788,1001.11467334,7097142115
2024-06,17420232,1492.29313379,6526796235
2024-07,19512260,400.30159852,7611208643
2024-08,18548109,344.72966645,7203296129
2024-09,17763279,229.26097768,7131222168
2024-10,20481153,717.70992455,7737722145
2024-11,16106214,436.17139455,7142725916
2024-12,12803638,398.98749962,7284962861
2025-01,11546494,203.88438531,7747864920
2025-02,11384557,173.66862723,7048514414
2025-03,12040483,177.12777389,7464063599
2025-04,1864637,24.34978784,1116329385
