month,transaction_count,total_fee_eth,total_value_eth
2015-08,85609,2364.8806106681718,41136938.092077218
2015-09,173805,1171.9642831413953,12247113.613141121
2015-10,205045,1505.0744564269407,15208047.82844864
2015-11,234733,2677.5310790937374,13963032.381076934
2015-12,347092,4166.5984786091512,9289603.6726763174
2016-01,404816,3125.0138508891837,24720522.386296526
2016-02,520040,4451.6654101970989,34087378.459501073
2016-03,917170,3119.035370423826,42055054.826076485
2016-04,1023096,2168.9513478824247,23194232.964812826
2016-05,1346796,3598.6030777614274,63362185.521115571
2016-06,1351536,3928.6144227757063,41208785.201918
2016-07,1356907,3417.2827288910007,129962157.66273947
2016-08,1405743,3653.19245506641,83054090.175545126
2016-09,1387412,4739.9178553280117,45267940.763608284
2016-10,1329847,4567.8774969083015,43146123.034583777
2016-11,1301586,3898.46250443074,51600487.255727783
2016-12,1316131,4819.6275698862646,80898080.31926842
2017-01,1409664,4415.3772778428147,79227147.826331779
2017-02,1410048,5772.6102268317454,78370594.973636761
2017-03,2426471,7931.3598184606271,429537732.53045171
2017-04,2539966,8972.1647584397142,282825403.63710612
2017-05,4245516,15302.704372763143,530043220.60365129
2017-06,7244657,28480.753512334377,411407569.9425993
2017-07,7835875,26362.501642529925,509186627.5967831
2017-08,10523178,35941.2239309582,507995437.21214968
2017-09,10679242,45329.059282901806,367068135.74757624
2017-10,12602063,31375.385548889688,337250300.72284091
2017-11,15292269,30831.291581843463,453279724.73411936
2017-12,26732085,112093.9774466758,367064234.78041571
2018-01,33504270,164999.87587984145,374060858.87060165
2018-02,22231978,64866.082338723667,138513288.59247518
2018-03,20261862,42491.381591538135,55275978.279712632
2018-04,20876642,44266.110598382547,51132496.100984074
2018-05,25105717,61406.932408604036,62718874.090151094
2018-06,22471788,61614.062446607983,63112542.8042578
2018-07,19937033,97598.810702933828,45355449.292048313
2018-08,19842059,84842.927128797717,47600123.27425006
2018-09,16056742,50444.867041398189,59947542.816411205
2018-10,17056926,44265.312493288708,52371622.143838361
2018-11,16713911,53351.657046712135,90220171.429439038
2018-12,17107601,54030.247959491586,101702877.33612373
2019-01,16569597,44404.094610106476,73814470.84912017
2019-02,13413899,56496.207888446108,53398656.312787376
2019-03,18029582,52377.01905012472,68932044.147460192
2019-04,19830158,44042.557734307535,81859378.697620079
2019-05,24332475,52056.635892797691,97458312.6280692
2019-06,25679653,52014.666511849267,77937023.750567
2019-07,22892039,49327.8306403592,61714608.665842324
2019-08,22003889,44980.445672614667,57028426.164189555
2019-09,20465806,77462.290546191827,57411070.591029257
2019-10,20954629,60154.863106189929,48454745.410454661
2019-11,20388573,68549.942489442459,44589220.387903534
2019-12,18271815,38633.600844365588,42707327.022551909
2020-01,17703536,32763.323718373609,41476416.767885655
2020-02,19212778,40708.330106549867,52775132.631843336
2020-03,22748700,86232.299915474126,90327769.181243882
2020-04,23211389,54892.345786069222,58845351.446856178
2020-05,26648587,161573.04197281742,59944324.645379186
2020-06,28802843,241418.02861925433,60429870.221781574
2020-07,33896953,423873.27799619455,77617171.5994064
2020-08,36679836,961107.66059730831,92859633.857829466
2020-09,32848877,1166870.344865001,140637802.36044559
2020-10,33297049,379979.4195841942,83504852.923935249
2020-11,33785905,358951.41428471683,96974768.631404772
2020-12,35930517,477669.46935612144,87479368.081377923
2021-01,37490761,781993.64863706043,133287102.61207734
2021-02,35578516,1181758.3002498567,100827447.9792363
2021-03,39236425,983058.76158982411,90373882.324967161
2021-04,41756227,814935.57454941282,96103384.06483236
2021-05,45055042,828483.89056075655,131984225.40029943
2021-06,36198196,185389.29869437922,71964492.10214524
2021-07,37469828,238543.91609413089,63115157.492140926
2021-08,37250450,513392.93513243162,62581695.542524025
2021-09,35609993,744027.70919785916,64744184.929955289
2021-10,38939449,828331.30094973906,59035506.2624765
2021-11,38922026,945193.23891731724,58457293.05059801
2021-12,38300450,618870.99545233906,59623718.575082347
2022-01,36851128,907669.46873365226,62379569.284190051
2022-02,32739456,518901.645871619,48368393.856276162
2022-03,35990387,306921.31539085472,48481735.975600518
2022-04,33599569,329498.89041212964,44116018.875294462
2022-05,34955914,451305.60742538958,75551539.488115817
2022-06,31083501,314727.63195874158,79785633.539408445
2022-07,37174242,176465.48705366979,62714006.925137468
2022-08,34901614,118550.86644512508,47851116.490891188
2022-09,33739408,112473.62636238842,74139316.499316126
2022-10,34122529,154987.2892635348,41876711.588244446
2022-11,31271090,163607.14083098472,71895673.361533448
2022-12,32114430,126772.4761213898,37468238.520444885
2023-01,31861364,160761.2290079096,36863901.297743827
2023-02,29793399,217981.22842722019,34571252.205287486
2023-03,33108538,281500.16289820382,49480653.131489225
2023-04,30166979,310629.47304999654,38481915.217535727
2023-05,33518547,596858.23765821184,41374052.944406487
2023-06,31628242,224238.4635268359,42579033.948841251
2023-07,31474016,290134.92419486621,30065395.263612024
2023-08,31954474,263991.6656250782,31175681.552496906
2023-09,30490755,182758.50709689598,30410183.167749275
2023-10,31344189,164404.96441404964,34268394.063754462
2023-11,32567910,366578.74565098295,40780265.180965185
2023-12,35192238,400397.006989057,43371742.439299271
2024-01,36015517,249498.3600458235,45515054.814436346
2024-02,32284937,377404.86772594356,41565571.659563258
2024-03,39151780,415497.66022051906,50247710.5655965
2024-04,36001242,160916.61597222948,38022377.431820609
2024-05,35834969,85300.97007854456,36102487.894355945
2024-06,35046833,100799.72503220894,28432675.119097784
2024-07,35491830,74363.506776734474,40967145.833192848
2024-08,33964686,61024.360225226221,41640411.973257177
2024-09,33858493,101901.14406853181,36890449.990498468
2024-10,35799578,129188.4338128051,42978580.065503463
2024-11,36691046,140761.39113332925,58666473.745730631
2024-12,39605073,136742.30862243194,60087301.107588276
2025-01,37865791,105106.02388037139,51096826.781136051
2025-02,35574446,40937.051169642778,60160865.764147289
2025-03,36924045,25328.940515598097,52483464.927630179
2025-04,6213170,3630.3513101933618,6539567.3276676266
