transaction_date,daily_transaction_count
2024-04-06,1201522
2024-04-07,1177838
2024-04-08,1221235
2024-04-09,1226401
2024-04-10,1207941
2024-04-11,1213672
2024-04-12,1322052
2024-04-13,1162426
2024-04-14,1133064
2024-04-15,1187906
2024-04-16,1178451
2024-04-17,1245968
2024-04-18,1235484
2024-04-19,1182165
2024-04-20,1152540
2024-04-21,1133785
2024-04-22,1178253
2024-04-23,1199365
2024-04-24,1171434
2024-04-25,1186539
2024-04-26,1177416
2024-04-27,1103918
2024-04-28,1140939
2024-04-29,1224677
2024-04-30,1262466
2024-05-01,1206626
2024-05-02,1223696
2024-05-03,1194608
2024-05-04,1163073
2024-05-05,1145911
2024-05-06,1190232
2024-05-07,1231931
2024-05-08,1159221
2024-05-09,1126649
2024-05-10,1154535
2024-05-11,1113685
2024-05-12,1055429
2024-05-13,1163122
2024-05-14,1182521
2024-05-15,1197067
2024-05-16,1218766
2024-05-17,1112590
2024-05-18,1082308
2024-05-19,1022057
2024-05-20,1124081
2024-05-21,1198696
2024-05-22,1188672
2024-05-23,1156304
2024-05-24,1164101
2024-05-25,1157033
2024-05-26,1139013
2024-05-27,1159616
2024-05-28,1105315
2024-05-29,1172771
2024-05-30,1149944
2024-05-31,1175396
2024-06-01,1119675
2024-06-02,1076974
2024-06-03,1152786
2024-06-04,1164380
2024-06-05,1178477
2024-06-06,1154720
2024-06-07,1184232
2024-06-08,1156305
2024-06-09,1142399
2024-06-10,1180168
2024-06-11,1177067
2024-06-12,1224208
2024-06-13,1230853
2024-06-14,1184071
2024-06-15,1137118
2024-06-16,1123092
2024-06-17,1143178
2024-06-18,1147395
2024-06-19,1127592
2024-06-20,1150083
2024-06-21,1263722
2024-06-22,1316624
2024-06-23,1095704
2024-06-24,1158931
2024-06-25,1193832
2024-06-26,1248199
2024-06-27,1173697
2024-06-28,1175815
2024-06-29,1142572
2024-06-30,1122964
2024-07-01,1155552
2024-07-02,1135937
2024-07-03,1151881
2024-07-04,1241195
2024-07-05,1237133
2024-07-06,1137910
2024-07-07,1028463
2024-07-08,1137702
2024-07-09,1151773
2024-07-10,1175636
2024-07-11,1191567
2024-07-12,1187556
2024-07-13,1144551
2024-07-14,1083062
2024-07-15,1156258
2024-07-16,1199035
2024-07-17,1187616
2024-07-18,1182695
2024-07-19,1143619
2024-07-20,1106348
2024-07-21,1110007
2024-07-22,1151384
2024-07-23,1153608
2024-07-24,1134655
2024-07-25,1125280
2024-07-26,1138693
2024-07-27,1073935
2024-07-28,1041777
2024-07-29,1093737
2024-07-30,1167025
2024-07-31,1166240
2024-08-01,1125933
2024-08-02,1087561
2024-08-03,1087774
2024-08-04,1043193
2024-08-05,1133164
2024-08-06,1130468
2024-08-07,1123175
2024-08-08,1097066
2024-08-09,1100553
2024-08-10,1051563
2024-08-11,985147
2024-08-12,1060624
2024-08-13,1088875
2024-08-14,1278666
2024-08-15,1252405
2024-08-16,1111995
2024-08-17,1003438
2024-08-18,1029131
2024-08-19,1042805
2024-08-20,1070613
2024-08-21,1084041
2024-08-22,1093186
2024-08-23,1125193
2024-08-24,1088203
2024-08-25,973412
2024-08-26,1114163
2024-08-27,1132797
2024-08-28,1149274
2024-08-29,1153728
2024-08-30,1133892
2024-08-31,1012648
2024-09-01,1011212
2024-09-02,1086384
2024-09-03,1129081
2024-09-04,1108873
2024-09-05,1121084
2024-09-06,1124382
2024-09-07,1115728
2024-09-08,1085480
2024-09-09,1158357
2024-09-10,1166560
2024-09-11,1170510
2024-09-12,1168620
2024-09-13,1158069
2024-09-14,1095765
2024-09-15,1086732
2024-09-16,1101816
2024-09-17,1144470
2024-09-18,1132760
2024-09-19,1178603
2024-09-20,1156825
2024-09-21,1082726
2024-09-22,1063818
2024-09-23,1135378
2024-09-24,1144263
2024-09-25,1151716
2024-09-26,1151158
2024-09-27,1202550
2024-09-28,1113743
2024-09-29,1116620
2024-09-30,1195210
2024-10-01,1266656
2024-10-02,1156600
2024-10-03,1161490
2024-10-04,1139613
2024-10-05,1099244
2024-10-06,1069768
2024-10-07,1154423
2024-10-08,1156248
2024-10-09,1182083
2024-10-10,1154738
2024-10-11,1227069
2024-10-12,1159085
2024-10-13,1060369
2024-10-14,1173591
2024-10-15,1212877
2024-10-16,1156834
2024-10-17,1247886
2024-10-18,1330449
2024-10-19,1250641
2024-10-20,1177600
2024-10-21,1185104
2024-10-22,1181372
2024-10-23,1137763
2024-10-24,1132267
2024-10-25,1143624
2024-10-26,1098532
2024-10-27,965098
2024-10-28,1053714
2024-10-29,1173025
2024-10-30,1106479
2024-10-31,1085336
2024-11-01,1101047
2024-11-02,1073738
2024-11-03,1114734
2024-11-04,1121115
2024-11-05,1105923
2024-11-06,1195439
2024-11-07,1223300
2024-11-08,1228931
2024-11-09,1154408
2024-11-10,1211713
2024-11-11,1276334
2024-11-12,1288787
2024-11-13,1270183
2024-11-14,1284085
2024-11-15,1244665
2024-11-16,1241006
2024-11-17,1204729
2024-11-18,1229167
2024-11-19,1222473
2024-11-20,1243428
2024-11-21,1266953
2024-11-22,1301173
2024-11-23,1277757
2024-11-24,1207132
2024-11-25,1292463
2024-11-26,1265769
2024-11-27,1275842
2024-11-28,1256719
2024-11-29,1279446
2024-11-30,1232587
2024-12-01,1228535
2024-12-02,1341788
2024-12-03,1349338
2024-12-04,1339995
2024-12-05,1344520
2024-12-06,1330997
2024-12-07,1243988
2024-12-08,1224361
2024-12-09,1329408
2024-12-10,1379827
2024-12-11,1297795
2024-12-12,1350929
2024-12-13,1280204
2024-12-14,1238981
2024-12-15,1199954
2024-12-16,1288678
2024-12-17,1319728
2024-12-18,1288421
2024-12-19,1281658
2024-12-20,1327871
2024-12-21,1257560
2024-12-22,1254501
2024-12-23,1306194
2024-12-24,1263508
2024-12-25,1206212
2024-12-26,1208665
2024-12-27,1240371
2024-12-28,1193108
2024-12-29,1199862
2024-12-30,1240007
2024-12-31,1248109
2025-01-01,1040808
2025-01-02,1086430
2025-01-03,1236060
2025-01-04,1161690
2025-01-05,1142808
2025-01-06,1214663
2025-01-07,1212018
2025-01-08,1200637
2025-01-09,1201934
2025-01-10,1191720
2025-01-11,1120421
2025-01-12,1097434
2025-01-13,1216397
2025-01-14,1228551
2025-01-15,1235101
2025-01-16,1243708
2025-01-17,1244622
2025-01-18,1242402
2025-01-19,1342035
2025-01-20,1389309
2025-01-21,1266425
2025-01-22,1272295
2025-01-23,1272961
2025-01-24,1372877
2025-01-25,1401619
2025-01-26,1224985
2025-01-27,1262797
2025-01-28,1189629
2025-01-29,1173714
2025-01-30,1192475
2025-01-31,1187266
2025-02-01,1128799
2025-02-02,1127284
2025-02-03,1244916
2025-02-04,1330098
2025-02-05,1209086
2025-02-06,1333804
2025-02-07,1330807
2025-02-08,1203788
2025-02-09,1187055
2025-02-10,1356631
2025-02-11,1325846
2025-02-12,1275635
2025-02-13,1321148
2025-02-14,1349547
2025-02-15,1171706
2025-02-16,1129295
2025-02-17,1358017
2025-02-18,1312465
2025-02-19,1257368
2025-02-20,1323505
2025-02-21,1357193
2025-02-22,1185038
2025-02-23,1119166
2025-02-24,1304929
2025-02-25,1397681
2025-02-26,1289180
2025-02-27,1302283
2025-02-28,1342176
2025-03-01,1121214
2025-03-02,1142048
2025-03-03,1328012
2025-03-04,1347191
2025-03-05,1273243
2025-03-06,1339568
2025-03-07,1277137
2025-03-08,1097056
2025-03-09,1123093
2025-03-10,1283100
2025-03-11,1311724
2025-03-12,1221476
2025-03-13,1183406
2025-03-14,1165047
2025-03-15,1002601
2025-03-16,971166
2025-03-17,1139344
2025-03-18,1165679
2025-03-19,1211649
2025-03-20,1210998
2025-03-21,1117996
2025-03-22,1047954
2025-03-23,979935
2025-03-24,1227168
2025-03-25,1243357
2025-03-26,1306796
2025-03-27,1280595
2025-03-28,1296364
2025-03-29,1128659
2025-03-30,1062800
2025-03-31,1317669
2025-04-01,1300318
2025-04-02,1302159
2025-04-03,1292692
2025-04-04,1256395
2025-04-05,1068681
2025-04-06,494412
